lr_bp,entropy_coef,score_steady_avg,final_val
0.009,0.0006,17.619999999999997,31.5
0.009,0.00065,18.62,31.7
0.009,0.0007,20.76,30.5
0.009,0.00075,22.939999999999998,32.6
0.009,0.0008,23.48,33.0
0.0095,0.0006,22.759999999999998,21.2
0.0095,0.00065,22.7,21.6
0.0095,0.0007,24.580000000000002,31.4
0.0095,0.00075,26.059999999999995,34.9
0.0095,0.0008,32.46,35.2
0.01,0.0006,23.4,31.6
0.01,0.00065,31.5,27.7
0.01,0.0007,31.96,27.8
0.01,0.00075,25.24,20.3
0.01,0.0008,23.34,19.0
0.011,0.0006,25.940000000000005,19.3
0.011,0.00065,11.84,21.0
0.011,0.0007,11.860000000000001,21.1
0.011,0.00075,11.8,20.3
0.011,0.0008,15.559999999999999,32.4
0.012,0.0006,14.540000000000001,13.4
0.012,0.00065,13.2,10.5
0.012,0.0007,12.88,10.6
0.012,0.00075,15.539999999999997,11.1
0.012,0.0008,15.979999999999999,11.1
