lr_spsa,eps,score_steady_avg,final_val
0.0001,0.005,15.339999999999998,18.4
0.0001,0.01,16.7,21.4
0.0001,0.02,25.580000000000002,45.0
0.0001,0.03,27.420000000000005,32.7
0.0005,0.005,9.5,9.5
0.0005,0.01,11.280000000000001,14.7
0.0005,0.02,9.5,9.5
0.0005,0.03,9.5,9.5
0.001,0.005,9.5,9.5
0.001,0.01,9.5,9.5
0.001,0.02,9.5,9.5
0.001,0.03,17.1,26.9
0.005,0.005,9.5,9.5
0.005,0.01,9.5,9.5
0.005,0.02,9.5,9.5
0.005,0.03,19.119999999999997,17.4
0.01,0.005,9.5,9.5
0.01,0.01,9.5,9.5
0.01,0.02,9.5,9.5
0.01,0.03,9.2,9.2
0.02,0.005,9.5,9.5
0.02,0.01,9.5,9.5
0.02,0.02,9.2,9.2
0.02,0.03,10.36,10.7
0.03,0.005,9.5,9.5
0.03,0.01,9.5,9.5
0.03,0.02,9.5,9.5
0.03,0.03,9.2,9.2
0.05,0.005,9.5,9.5
0.05,0.01,9.5,9.5
0.05,0.02,9.5,9.5
0.05,0.03,9.2,9.2
0.08,0.005,9.5,9.5
0.08,0.01,9.5,9.5
0.08,0.02,9.5,9.5
0.08,0.03,9.5,9.5
